Unnamed: 0_level_0,Vendor Name,Number of Total Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,Weighted Average,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total
Unnamed: 0_level_1,Vendor Name,Number of Total Vulnerabilities,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+,Weighted Average,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+
1,Microsoft,8511,2.0,108.0,619.0,241.0,1633,928,884,1886,37.0,2173,7.1,0,1,7,3,19,11,10,22,0,26
2,Oracle,8366,2.0,140.0,405.0,555.0,2555,2395,979,716,39.0,580,5.9,0,2,5,7,31,29,12,9,0,7
3,Google,7121,,52.0,663.0,90.0,1954,671,1238,1300,37.0,1116,6.6,0,1,9,1,27,9,17,18,1,16
4,Debian,6266,,76.0,341.0,157.0,1741,1287,1302,1079,19.0,264,6.2,0,1,5,3,28,21,21,17,0,4
5,Apple,5566,1.0,57.0,388.0,50.0,1093,691,1508,773,17.0,988,6.8,0,1,7,1,20,12,27,14,0,18
6,IBM,5408,2.0,63.0,365.0,975.0,1468,1028,546,537,26.0,398,5.7,0,1,7,18,27,19,10,10,0,7
7,Redhat,4214,,66.0,332.0,179.0,1110,759,681,719,16.0,352,6.2,0,2,8,4,26,18,16,17,0,8
8,Cisco,4168,2.0,6.0,93.0,185.0,928,901,555,968,42.0,488,6.7,0,0,2,4,22,22,13,23,1,12
9,Canonical,3232,,46.0,207.0,102.0,968,573,505,582,9.0,240,6.2,0,1,6,3,30,18,16,18,0,7
10,Fedoraproject,3149,,32.0,167.0,84.0,919,704,753,396,10.0,84,6.1,0,1,5,3,29,22,24,13,0,3
11,Linux,2847,1.0,105.0,466.0,77.0,911,164,229,755,9.0,130,5.8,0,4,16,3,32,6,8,27,0,5
12,Opensuse,2583,,40.0,166.0,90.0,644,505,481,357,5.0,295,6.4,0,2,6,3,25,20,19,14,0,11
13,Mozilla,2347,,12.0,76.0,8.0,541,440,322,398,1.0,549,7.1,0,1,3,0,23,19,14,17,0,23
14,HP,1803,1.0,10.0,64.0,44.0,293,256,132,399,20.0,584,7.5,0,1,4,2,16,14,7,22,1,32
15,Apache,1678,,11.0,43.0,44.0,430,560,200,294,5.0,91,6.3,0,1,3,3,26,33,12,18,0,5
16,SUN,1535,3.0,26.0,98.0,44.0,290,271,108,404,3.0,288,6.8,0,2,6,3,19,18,7,26,0,19
17,Adobe,1401,,,19.0,16.0,237,147,96,95,4.0,787,8.2,0,0,1,1,17,10,7,7,0,56
18,Netapp,1299,,20.0,81.0,45.0,495,299,193,141,4.0,21,5.7,0,2,6,3,38,23,15,11,0,2
19,SAP,1077,,2.0,30.0,71.0,339,278,173,121,3.0,60,6.1,0,0,3,7,31,26,16,11,0,6
20,Jenkins,1056,,1.0,58.0,147.0,495,139,178,26,1.0,11,5.3,0,0,5,14,47,13,17,2,0,1
21,GNU,928,1.0,12.0,53.0,33.0,254,207,171,158,2.0,37,6.1,0,1,6,4,27,22,18,17,0,4
22,Suse,908,,18.0,77.0,13.0,173,113,120,168,,226,6.9,0,2,8,1,19,12,13,19,0,25
23,Siemens,719,,5.0,30.0,29.0,141,173,204,101,8.0,28,6.3,0,1,4,4,20,24,28,14,1,4
24,Gitlab,678,,1.0,11.0,68.0,293,209,61,34,,1,5.5,0,0,2,10,43,31,9,5,0,0
25,PHP,660,,1.0,20.0,8.0,69,205,97,216,2.0,42,6.8,0,0,3,1,10,31,15,33,0,6
26,F5,632,,1.0,26.0,28.0,180,201,75,91,4.0,26,6.1,0,0,4,4,28,32,12,14,1,4
27,Novell,621,1.0,7.0,24.0,8.0,145,139,47,114,,136,6.9,0,1,4,1,23,22,8,18,0,22
28,Wireshark,618,,,23.0,33.0,184,300,8,48,3.0,19,5.8,0,0,4,5,30,49,1,8,0,3
29,Imagemagick,617,,,2.0,2.0,341,50,119,96,,7,6.0,0,0,0,0,55,8,19,16,0,1
30,Huawei,574,,3.0,45.0,17.0,82,194,71,123,8.0,31,6.4,0,1,8,3,14,34,12,21,1,5
31,Vmware,562,,6.0,41.0,30.0,127,98,94,109,4.0,53,6.4,0,1,7,5,23,17,17,19,1,9
32,Intel,544,,8.0,140.0,17.0,247,46,14,65,1.0,6,5.0,0,1,26,3,45,8,3,12,0,1
33,Symantec,538,,4.0,37.0,28.0,117,92,59,108,9.0,84,6.6,0,1,7,5,22,17,11,20,2,16
34,Mcafee,507,,7.0,42.0,50.0,175,71,66,70,4.0,22,5.8,0,1,8,10,35,14,13,14,1,4
35,Freebsd,474,,7.0,59.0,11.0,79,89,37,154,3.0,35,6.4,0,1,12,2,17,19,8,32,1,7
36,Moodle,440,,,7.0,33.0,199,108,63,22,,8,5.7,0,0,2,8,45,25,14,5,0,2
37,Joomla,439,,,2.0,7.0,98,92,63,169,,8,6.7,0,0,0,2,22,21,14,38,0,2
38,Juniper,432,,3.0,34.0,32.0,77,110,43,100,6.0,27,6.3,0,1,8,7,18,25,10,23,1,6
39,Cpanel,421,,6.0,49.0,56.0,139,64,53,24,4.0,26,5.5,0,1,12,13,33,15,13,6,1,6
40,Dell,399,,2.0,35.0,27.0,81,96,37,67,4.0,50,6.3,0,1,9,7,20,24,9,17,1,13
41,XEN,397,,22.0,50.0,7.0,160,33,59,52,4.0,10,5.5,0,6,13,2,40,8,15,13,1,3
42,EMC,395,,1.0,20.0,28.0,90,54,49,69,13.0,71,6.8,0,0,5,7,23,14,12,17,3,18
43,Fortinet,387,,,11.0,34.0,155,58,48,50,1.0,30,6.0,0,0,3,9,40,15,12,13,0,8
44,Atlassian,385,,,2.0,55.0,155,89,39,23,,22,5.7,0,0,1,14,40,23,10,6,0,6
45,Wordpress,381,,,8.0,29.0,139,86,51,55,1.0,12,6.0,0,0,2,8,36,23,13,14,0,3
46,Ffmpeg,377,,1.0,2.0,,94,23,110,74,,73,7.2,0,0,1,0,25,6,29,20,0,19
47,Zohocorp,366,,,,16.0,104,60,53,107,1.0,25,6.6,0,0,0,4,28,16,14,29,0,7
48,Qemu,365,,17.0,148.0,10.0,82,27,19,52,1.0,9,4.8,0,5,41,3,22,7,5,14,0,2
49,Drupal,348,,,13.0,50.0,108,77,45,45,3.0,7,5.8,0,0,4,14,31,22,13,13,1,2
50,Broadcom,342,,1.0,12.0,5.0,64,70,41,83,2.0,64,7.0,0,0,4,1,19,20,12,24,1,19
