,Pdf_Name,Encrypt_sha256,address,claim,date,details,form,insurance,insured,name,number,policy
0,020816-claimform (1).pdf,4eb601ac6fda6be0a03776358e286ab053d63d3f3c1a523ca6df534104499aad,1,1,1,1,1,1,1,1,1,1
1,020816-claimform.pdf,449b7f35e63e07375ff56750d4ccb596f9706a83ffdd79aca4739c7c0d204028,1,1,1,1,1,1,1,1,1,1
2,2a6dbd6ce4724c7f95acaf83b4f9070d.pdf,ac65e2bb3ff4155fe069530f0fbd9798d6848a5aaf379684b621ff2758e0eae2,1,1,1,1,1,1,1,1,0,1
3,7cb49840db6f4e9587d9c93042e4d7da.pdf,75ed96601c9a959b249b354f3ce8ff4f996fe84ec52ad6c5942bb422563037a7,1,1,1,1,1,1,1,1,0,1
4,8ee09c18efdf4a63a1e74c2461987aa6.pdf,60a373e42f8f88d5dde1d023c462edbbd2be5d184c2a509b128f5bb22ddc0388,1,1,1,1,1,1,1,1,0,1
5,955bb4682d8946a2a5644284dfe2c2d9.pdf,bb189f9cbefb4a8397963d8064a973758f0131ed98c5c5222163f368eb174ba7,1,1,1,1,1,1,1,1,0,1
6,a2723513c63349b29e81d671a145082a.pdf,0cb1bb31d4e9bed0da0f1956890bca0a48fd8cfdcc0ef78d6f46456a19918f42,1,1,1,1,1,1,1,1,0,1
7,ab26056313d140cc96275478b8a29cb1.pdf,d0ed9b77f0da6c5d148131fd00a5714fb0498c91a95c7e3cc7062a2edb5a72de,1,1,1,1,1,1,0,1,1,1
8,Admission to colleges Application Form.pdf,6c1da868d5362edcf1213bbe0fc0d52fc5aee01650c468725b930a800e76603c,0,0,1,1,0,0,0,1,0,0
9,Application   for migration cetificate.pdf,aff9c9edc9b90d904d01b37cd9564a32a1cc1a6975436c04da92714fd9a8f34c,0,0,1,1,0,0,0,1,1,0
10,Application  for Marks Memo.pdf,3928547bf15541b44fd086c83316d645cb5a201728cae5f3b9e1accd30bf597d,0,0,1,1,0,0,0,1,1,0
11,Application Age cerificate.pdf,c05f466dcb10eea6087f6b38486019f847c5fd2551425fc765b19f632a7b0d84,0,0,1,1,0,0,0,1,1,0
12,Application for Income cetificate -English.pdf,a44eb066e72bef3d11928d620feebdc8d5d1ea01db6fcd922fa09052ffb6350e,1,0,1,1,1,0,0,1,0,0
13,ApplicationforDuplicateMemorandumofMarks.pdf,58133ca6000b695362e0258715141eebd72a6dda315f19b17afb85bb66a9cdba,1,0,1,1,1,0,0,1,1,0
14,b1f0a8831faf436f8162793d1000842c.pdf,6d4295c7e90268ecedeaf24f5160e158b1bbaef58f03ac15434b3830edd85888,1,1,1,1,1,1,1,1,0,1
15,Birth Corrections new-CDMA.pdf,14681a163103686a2bfbf1bc0fed910ce93be71dd40549559dc9eb68f0b7c853,1,0,1,1,1,0,0,1,1,0
16,Boiler_Claim_form.pdf,171edafd73ea9efce1bdcd1d6d768cb7080e9d6f36dab8d59d7035e8204c04c3,1,1,1,1,1,1,1,1,1,1
17,Burglary_Claim_Form.pdf,ecf5eb0738aa007d759af1612e339716d92e1cc598a024064b7868dc0ae680aa,1,1,1,1,0,1,1,1,1,1
18,c34a2e21e490472c8e9fb104e0f2be0e.pdf,1587279727f6f3f68f816dc7473838099ae44ccd17befea39fd3fabdc35680b9,1,1,1,1,1,1,1,1,1,1
19,Certficate-of-Existence.pdf,5b031077029f0350e4946bc5370dc07089627d378a91654c1f3de2faa951d9cd,0,0,0,0,1,0,0,1,0,1
20,Change of Name Application Form.pdf,51f6cbd94cf65f0e059ce5062bbf482a13fc6dee9bd360973763a7c4c409bf1e,1,0,1,1,1,0,0,1,0,0
21,Claim_Intimation_Form_Insurance-(2).pdf,c78544dab4beaee9f4e15ac2fc2db3ae31acc5e61386304c60051c5cd94256ce,1,1,1,1,1,1,1,1,1,1
22,Contractors_All_Risk_Insurance_Claim_Form.pdf,b85ff87c1d6773aceb6b1bbd27c5e2d99849cd9bf242639f5f28ba42a202357e,1,1,1,1,1,1,1,1,1,1
23,cpm-first-loss---retail.pdf,87f91701a08d1fab252e170a10b2d2fc2f53ed451a4780e9747df32807603fea,0,1,0,0,0,1,1,1,0,1
24,Farmers Subsidy Application Form  -Application Form.pdf,6224c29f966e85f6e79527a3e29a1f83ca85964be0aff620d10c64a5f9a19743,0,0,0,1,1,0,0,1,1,0
25,Fire_Insurance_Claim_Form.pdf,3851d4397dff497c7eb5971c4679ca584a6552a874489b055094b905cc2cf2ae,1,1,1,1,1,1,1,1,1,1
26,FORM-NO-3783-Claim-Form_A.pdf,c59febd74c7fd93e34bd71c1f563c748d66edb3aac339a2801a968b32866c1ee,1,1,0,0,1,1,0,1,0,1
27,Form-of-Letter-of-Indemnity.pdf,bbf9932d46c6a21ba5b616fabc59e4d898d14c116d70857641f3fe8ef9a979af,0,0,0,0,1,1,0,0,0,1
28,form_no_3825-(1).pdf,92d1b022018826bf9f19e9be3338a81bda0412922e3c658730bb1941945db9f0,0,1,1,0,0,1,0,0,0,1
29,FORM_NO_5180-(1).pdf,f361a9f25b55157f1212e3f320ba32a1fbddd8249d4e8c6b1424730cfdb7bb6a,0,1,1,0,0,1,0,0,0,1
30,Hindu Marriage Registration Application Form-Marriage has been Performed.pdf,e44705504d4acae74f0e090bc71ec5ef81767097d76175f60b900f9554b59f3f,1,0,1,1,1,0,0,1,0,0
31,Insurance1.pdf,f3ffe6ec03fa7edab10fce2e34eb1344e889c9fd255bd553ee2df0a1100bb404,1,0,1,0,0,1,1,1,1,1
32,Insurance2.pdf,8d037aaf98cf04d618be4a542cdfb8e2a3035500d25ab971a92fa4792f478767,1,0,1,0,0,1,0,1,1,1
33,insurance3.pdf,06b4bb5ec8e927cd97251ebe433f461c28038b8cf047d84d7c6411442e4661e1,1,1,1,1,1,1,1,1,1,1
34,insurance4.pdf,f1382b9300d41f7d6ed97ae95e7183aa1922528f75ba1ed12abdd5aed68dff78,0,1,1,0,0,1,0,0,0,0
35,insurance5.pdf,f7c60aa38cd4d8c88ba2c213da37ee2f7fb0a65614de06d7aa6dc04720a4b64e,0,0,1,0,1,1,1,0,1,1
36,insurance6.pdf,24083ee458d78ca6e0aaf54a91e60d61caca5a91ce1c5008f054c7e34ede6834,0,1,1,1,0,0,1,1,1,1
37,insurance7.pdf,0f41938d06356da830dbfb7a8d0eb8fd5b49026c012a181ec162d14cc9d04b66,0,0,1,0,1,1,1,1,1,1
38,insuranceData.pdf,8fc9fe96806496d2633f8d54d2970c461e5fbca0d204cb5d164f6372b9384be6,0,1,1,0,0,1,0,0,0,0
39,Issue of Arm License  Application Form.pdf,682d9b6e18f3b0b134c62a3db35cccbc693bdf92515483a4975d0ce6708fd8fe,1,0,1,1,1,0,0,1,1,0
40,Know Your Aadhaar.pdf,f5e8e4a296fdf2c77c6234cd6de53c8ef5f395bbc8e4e1d6fbe4637d372fe6d6,0,0,0,1,1,0,0,1,1,0
41,MARINE-CLAIM-FORM.pdf,f415a2426d12f2932086e15ae4241e54f7ff5f56b765cbd6459c69898fce6f3b,1,1,1,0,1,1,0,1,1,1
42,Money Lending.pdf,177a2353af8715d8374f6caf8571c4697c20e73938667b37d834870a20f7c06f,1,0,1,0,1,0,0,1,1,0
43,motor_claim_form.pdf,cec63370bfee67c427d5102d9075d7ab77c1391f112616f2e8ecf4e47df6f990,1,1,1,1,1,0,1,1,1,1
44,Motor_Claim_Form_New.pdf,80870ae95018b3e735a8c68a01c82fe85d3725fd2c6117bbcf909bad2593ff23,1,1,1,1,1,1,1,1,1,1
45,motor_personal_accident_claim_form.pdf,70b7334da94f14b3dd0093799471eff068fc899cc3df1404932370b1d28a6006,1,1,1,1,1,1,1,1,1,1
46,Name Correction Service-SPDCL.pdf,2423f07a94b44079b8e04f44194efd11d53b61587e0bc220af09207488afc812,0,0,0,1,1,0,0,1,1,0
47,NEFT-Application-Form.pdf,68172c8ad440bc35bb0f13e881b809730bc57b1606ce72ef4b4c8ddd34271cff,1,0,0,1,1,0,0,1,0,1
48,nonInsurance1.pdf,ad6b8824f97fc6930a0d697bf32c52d07adc5e1882e96e7dc52a33b2fd095962,0,0,0,0,0,0,0,0,0,0
49,nonInsurance2.pdf,9bcaa416899b53de0296bf9453d2bde4a5e524023d771c46b5817b0a6f25d137,0,0,0,0,1,0,0,0,0,0
50,nonInsurance3.pdf,0094dda47d9175ac0f43b59f3e834ecd3d5c5e22c4852f5332abe5a486aa0254,1,0,0,0,1,0,0,0,1,0
51,nonInsurance4.pdf,96d6197185567cff9ceef4077c2cafafd5a85c050ff0a2e8f5f9fb1d91030005,0,0,0,0,1,0,0,0,0,0
52,nonInsurance5.pdf,76d7a600c668da3b60ee87e5485e238a14781e95c6b4eb372f286acaf14a7f7b,0,0,1,0,1,0,0,0,0,0
53,nonInsurance6.pdf,29569c007fd60e074ccf3c6cd5c2ea8adca1a6458f99bb8674d50200c4f7eb6b,0,0,0,0,1,0,0,0,1,0
54,Overseas-Travel-Insurance-Claim-Form.pdf,ea2245e958c0fb279d0d7bbf50dea70391586a5ba6904862d9014a4118481817,1,1,1,1,1,1,1,1,0,1
55,PERSONAL-ACCIDENT-INSURANCE-FOR-KISAN-CREDIT-CARD-HOLDERS-CLAIM-FORM.pdf,2a1cca543d1e9d9c3d144564a9e4fb4f64f99a18fa039406dadbd48d0118dc67,1,1,1,1,1,1,1,1,1,1
56,PMFBYClaimForm.pdf,b8345eb824babe3d7fdd7b73402469b4281d6c9b90931f8c4cbb99fae6fece0f,1,1,1,1,1,1,1,1,1,1
57,ProfessionalIndemnity_ClaimForm.pdf,3f17bdd3fb49eb47d577e07737bbaf0a27f80e7047b1aa3cc159830d7b0788ca,1,1,1,1,1,1,1,1,1,1
58,Sanction of incentives-Commisionarate of industries.pdf,0ad335e0cdbb383bc90c8716966aac86bba5672a0f712d7d6ee67c281417d76a,1,0,1,1,0,0,0,1,1,1
59,SHRI-CONTRACTORS-PROTECTION-PACKAGE-POLICY-CLAIM-FORM.pdf,9a45f1c8ef7b94222797160c949c8c76a80508548d12c912109375658c42dc39,0,1,1,1,1,1,1,1,1,1
60,Shri-Education-Shield-Insurance-Policy-Claim-Form.pdf,46cb2b96c22a14c1c867cab624ab057a47f163337180048c7359390cff8d1655,1,1,0,1,1,1,1,1,1,1
61,Shri-HotelandRestaurant-Sampurna-Surksha-Insurance-Policy-Claim-Form.pdf,f03e6f108789b06455770c95cb4b0a02f77bee880520577a5e905f50e0326da6,1,1,0,1,1,1,1,1,1,1
62,Shri-Loan-Protect-Insurance-Claim-Form.pdf,3ac185890655baa33452d64ce9e8543c79a62f7dac9e44ba5d3b363bdade8a23,1,1,1,1,1,1,1,1,1,1
63,Shri_CLL_Claim_Form.pdf,2b6903d7fbfa8c9866e26c275cfd35265931284304d3685041c6cc20d1a5cb82,1,1,1,1,1,1,1,1,1,1
64,Shri_Home_Care_Insurance_Policy_Claim_Form.pdf,668cd4c741e01ed28b1e5c50b2f2cc06050498a27478834ab25d05409a0dd944,0,1,0,1,1,1,1,0,1,1
65,Shri_Micro_IPA_Claim_Form.pdf,8bd6c1d697d238d8708c05a99f25cca5a7f976b2f70fe0f92d38f14fde3ef0ad,1,1,1,1,1,1,1,1,1,1
66,Shri_Vector_Care_Claim_Form.pdf,a44d98ca5bc73444adeef9f65062fca51cb549438329ba893620ff8fe0b9bcf1,1,1,1,1,1,1,1,1,1,1
67,SPDCL -Registration for Agriculture Group Connection Application Form.pdf,e787d956dba4e88d07f830d7382c5768ceaa5b80b0347311c30284e6de20421d,0,0,0,1,0,0,0,1,1,0
68,SPDCL-HVDS Registration Application Form.pdf,442c8de538d88eb533e9640e1a3cfa9dbb692459c47c465048fe29b04b4529f0,1,0,0,1,1,0,0,1,1,0
69,Student Scholarship Application Form (Fresh).pdf,bc5f8b50a04e37b3f11bd3aebf9aa86c0d6fdb8f6cbbbe2ff20030f274c6bb99,1,0,1,1,1,0,0,1,1,0
70,Student Scholarship Application Form (RENEWAL).pdf,63425e549dedba5bf156d6ec0dd4a3712bc462abfba0ad7404ce1f9e92a83568,1,0,1,1,1,0,0,1,1,0
71,Travel-Insurance-Claim-Form.pdf,a775a668d19f7211fede35e69f6f00f92ea7c08d11160cdf8a8b184ea3238a19,1,1,1,1,1,1,1,1,0,1
72,wc-claim_form8c0003ff45fd68ff8a0df0055f0ead16.pdf,6112d57d23212b0db9edba4e06b4a9e32593e69f28068f02ea8c72d8f7d114c7,1,1,1,1,1,1,1,1,1,1
